page,section,title,content,icon,order,id,created_date,updated_date,created_by_id,created_by,is_sample
"services","items","גהות תעסוקתית- בריאות העובד","מחלת מקצוע או מחלה תעסוקתית הינה מחלה שהעובד חלה בה עקב עבודתו או מקצועו. את מחלות המקצוע ניתן למנוע על יד מודעות ומניעת החשיפה לגורמי הסיכון בעבודה.

•הערכת סיכונים בריאותיים
•מניעת מחלות מקצוע
•ניהול חשיפות תעסוקתיות
•תוכניות בריאות תעסוקתית","HeartPulse","4","694142b537b1769481aaf720","2025-12-16T11:29:57.271000","2025-12-16T11:29:57.271000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"services","items","בטיחות וגיהות בננו-טכנולוגיות","שימוש בננו-טכנולוגיות נפוץ מאוד בתעשיות כימיות, אנרגיה וסביבה, מידע ותקשורת, ביולוגיה, פארמה, רפואה, תעופה וחלל ועוד.

•הערכת סיכונים בננו-חומרים
•פיתוח נהלי עבודה בטוחים
•ייעוץ לתעשיות היי-טק
•מעקב אחר רגולציה עדכנית","Microscope","5","694142b537b1769481aaf721","2025-12-16T11:29:57.271000","2025-12-16T11:29:57.271000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"services","items","אבטחת איכות במעבדות ומפעלים","ניהול האיכות אמינות ואבטחת איכות במעבדות – רפואיות, כימיות וביולוגיות |ISO 13485| ISO 45001

•הטמעת תקני ISO
•ניהול איכות במעבדות
•ביקורות פנימיות וחיצוניות
•שיפור תהליכים","BadgeCheck","6","694142b537b1769481aaf722","2025-12-16T11:29:57.271000","2025-12-16T11:29:57.271000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"services","items","בטיחות ביולוגית","התפתחות מהירה של תחום הביולוגיה וכמו כן הופעת גורמים ביולוגים מסוכנים מחוללי מגיפות הביאו להעלאת המודעות והחשיבות של נושא הבטיחות הביולוגית.

•הערכת סיכונים ביולוגיים
•נהלי בטיחות במעבדות
•ניהול חומרים ביולוגיים
•הגנה מפני מגיפות","TestTube","7","694142b537b1769481aaf723","2025-12-16T11:29:57.271000","2025-12-16T11:29:57.271000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"services","items","היתר רעלים","מי צריך להוציא היתר רעלים: כל עסק שברשותו חומרים מסוכנים – מפעלים, בתי חולים, מעבדות, אוניברסיטאות, מחסנים, עסק של חומרי הדברה ועוד.

•הכנה והגשת בקשה להיתר
•ליווי בתהליך הרישוי
•עדכון והארכת היתרים
•ייעוץ בנושא אחסון חומרים","FileText","8","694142b537b1769481aaf724","2025-12-16T11:29:57.271000","2025-12-16T11:29:57.271000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"services","items","בטיחות כימית","מטרת העיסוק בבטיחות כימית היא להביא לידיעת מעסיקים ועובדים מידע בתחום הסיכונים הקיימים במקום העבודה כדי לתכנן ולבנות את הדרכים למניעת תאונות עבודה וחשיפה לחומרים כימיים.

•זיהוי וסיווג חומרים מסוכנים
•הערכת סיכונים כימיים
•בניית תוכניות בטיחות
•ליווי בביקורות משרד העבודה","Beaker","1","694142b537b1769481aaf71d","2025-12-16T11:29:57.270000","2025-12-16T11:29:57.270000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"services","items","הדרכות – הרצאות קורס נאמן בטיחות","אחת הסיבות העיקריות להתרחשות תאונות עבודה היא חוסר ידע של עובדים לגבי הסיכונים הקיימים בעמדות העבודה/ בתהליכים/ בחומרים/ וכמו כן לגבי מיגון מתאים.

•קורסים להסמכת נאמני בטיחות
•הדרכות לעובדים ומנהלים
•הרצאות בנושאי בטיחות
•סדנאות מעשיות","GraduationCap","2","694142b537b1769481aaf71e","2025-12-16T11:29:57.270000","2025-12-16T11:29:57.270000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"services","items","ממונה בטיחות כימית ובטיחות ביולוגית","לממונה הבטיחות תפקיד קריטי כמייעץ למעסיק בכל הקשור לחקיקה בתחומי הבטיחות והבריאות התעסוקתית וכמו כן כגורם שדואג לקיום דרישות החוק.

•ייעוץ וליווי שוטף
•קיום דרישות החוק
•בניית תוכנית בטיחות ארגונית
•ביקורות בטיחות תקופתיות","Shield","3","694142b537b1769481aaf71f","2025-12-16T11:29:57.270000","2025-12-16T11:29:57.270000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"home","hero","שם מלא","ד""ר דיאנה בלנק-פורת","","1","69413fb12bd6797924d277e0","2025-12-16T11:17:05.974000","2025-12-16T11:17:05.974000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"home","hero","שם חברה","BioChem Safety & Health","","2","69413fb12bd6797924d277e1","2025-12-16T11:17:05.974000","2025-12-16T11:17:05.974000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"home","hero","תפקיד 1","ביוכימאית בכירה","","3","69413fb12bd6797924d277e2","2025-12-16T11:17:05.974000","2025-12-16T11:17:05.974000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"home","hero","תפקיד 2","מוסמכת בריאות תעסוקתית וסביבתית","","4","69413fb12bd6797924d277e3","2025-12-16T11:17:05.974000","2025-12-16T11:17:05.974000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"home","hero","תפקיד 3","ממונה בטיחות וגהות בעבודה","","5","69413fb12bd6797924d277e4","2025-12-16T11:17:05.974000","2025-12-16T11:17:05.974000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"home","services-title","כותרת תחומי התמחות","תחומי התמחות","","1","69413fb12bd6797924d277e6","2025-12-16T11:17:05.974000","2025-12-16T11:17:05.974000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"home","contact-title","כותרת יצירת קשר","יצירת קשר","","1","69413fb12bd6797924d277e7","2025-12-16T11:17:05.974000","2025-12-16T11:17:05.974000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"home","contact-subtitle","תת כותרת יצירת קשר","BioChem Safety & Health - נשמח לעמוד לשירותכם ולענות על כל שאלה","","1","69413fb12bd6797924d277e8","2025-12-16T11:17:05.974000","2025-12-16T11:17:05.974000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"about","title","כותרת ראשית","אודות","","1","69413fb12bd6797924d277e9","2025-12-16T11:17:05.974000","2025-12-16T11:17:05.974000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"about","company","שם החברה","{""name"":""DBP \""BioChem Safety & Health\"""",""founder"":"" ד\""ר דיאנה בלנק-פורת, בטיחות, גהות ואיכות"",""fields"":[""  בטיחות כימית | חומרים מסוכנים | היתר רעלים | סקר סיכונים כימיים | מעבדות | תיק מפעל "",""בטיחות ביולוגית | רמות בטיחות ביולוגית | מעבדות | סקר סיכונים ביולוגיים"",""  גהות תעסוקתית ובריאות סביבתית | סקר סיכונים גהותי"",""הדרכות | ימי עיון |  נאמני בטיחות | נאמני איכות | מעבדות"",""בטיחות וגהות בעבודה בננו-טכנולוגיות | סקר סיכונים ננו"",""הבטחת איכות ואמינות | הסמכה לתקנים של איכות, בטיחות וגהות בתעסוקה""]}","","1","69413fb12bd6797924d277ea","2025-12-16T11:17:05.974000","2026-01-28T13:09:28.410000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"about","company","תיאור החברה","{""name"":""DBP \""BioChem Safety & Health\"" QA & Reliability"",""founder"":""נוסדה ע\""י ד\""ר דיאנה בלנק-פורת"",""fields"":[""בטיחות כימית- חומרים מסוכנים"",""בטיחות ביולוגית"",""גהות (בריאות) תעסוקתית"",""אמינות והבטחת איכות"",""הדרכות בטיחות"",""איכות. הדרכות והכשרות""]}","","2","69413fb12bd6797924d277eb","2025-12-16T11:17:05.974000","2026-02-03T23:06:25.568000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"about","company","כותרת תחומי עיסוק","{""name"":""        DBP \""BioChem Safety & Health\"""",""founder"":""מומחיות שמחברת מדע* תהליך* ועבודה מעשית במעבדה*. הוקמה מתוך ניסיון מקצועי ע\""י ד\""ר דיאנה בלנק-פורת"",""fields"":[""ניהול בטיחות כימית וחומרים מסוכנים"",""ניהול בטיחות ביולוגית"",""גהות (בריאות) תעסוקתית"",""קורסים לנאמני בטיחות"",""ניהול הבטיחות"",""בטיחות בעבודה בגובה""]}","","3","69413fb12bd6797924d277ec","2025-12-16T11:17:05.974000","2025-12-29T22:19:46.075000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"services","title","כותרת ראשית","תחומי התמחות","","1","69413fb12bd6797924d277ed","2025-12-16T11:17:05.974000","2025-12-16T11:17:05.974000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"services","subtitle","תת כותרת","שירותים מקצועיים לבטיחות ובריאות תעסוקתית","","1","69413fb12bd6797924d277ee","2025-12-16T11:17:05.974000","2025-12-16T11:17:05.974000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"contact","title","כותרת ראשית","יצירת קשר","","1","69413fb12bd6797924d277ef","2025-12-16T11:17:05.974000","2025-12-16T11:17:05.974000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"contact","professional-title","שם מקצועי","ד""ר דיאנה בלנק-פורת","","1","69413fb12bd6797924d277f0","2025-12-16T11:17:05.974000","2025-12-16T11:17:05.974000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"contact","professional-title","שם חברה","BioChem Safety & Health","","2","69413fb12bd6797924d277f1","2025-12-16T11:17:05.974000","2025-12-16T11:17:05.974000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"layout","footer","שם מלא","ד""ר דיאנה בלנק-פורת","","1","69413fb12bd6797924d277f2","2025-12-16T11:17:05.974000","2025-12-16T11:17:05.974000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"layout","footer","תיאור","ביוכימאית בכירה
מוסמכת בריאות תעסוקתית וסביבתית
ממונה בטיחות וגהות בעבודה","","2","69413fb12bd6797924d277f3","2025-12-16T11:17:05.974000","2025-12-18T15:28:51.218000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"layout","footer-links","כותרת קישורים","קישורים מהירים","","1","69413fb12bd6797924d277f4","2025-12-16T11:17:05.974000","2025-12-16T11:17:05.974000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"layout","footer-contact","כותרת יצירת קשר","יצירת קשר","","1","69413fb12bd6797924d277f5","2025-12-16T11:17:05.974000","2025-12-16T11:17:05.974000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"layout","footer-copyright","זכויות יוצרים","ד""ר דיאנה בלנק-פורת - BioChem Safety & Health. כל הזכויות שמורות.","","1","69413fb12bd6797924d277f6","2025-12-16T11:17:05.974000","2025-12-16T11:17:05.974000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
